course_number	title	points	timetable_group
42436	Technology Entrepreneurship	5	Autumn E1B (Thurs 13-17)
42575	Technology and Innovation Management	5	Autumn E3B (Fri 13-17)
42634	X-Tech Entrepreneurship	10	Spring F3 (Tues 8-12, Fri 13-17), Autumn E3 (Tues 8-12, Fri 13-17)
02809	UX Design Prototyping	5	Autumn E1A (Mon 8-12)
02450	Introduction to Machine Learning and Data Mining	5	Spring F4A (Tues 13-17), Autumn E4A (Tues 13-17)
42500	Innovation in Engineering	5	January
42504	Innovation in Engineering	5	June
42501	Innovation in Engineering	5	Augst
